"site";"lat";"lon";"year";"month";"tmean";"prec"
"b2";"50,02";"10,49";"1882";"3";"6,1";"34"
"b2";"50,02";"10,49";"1882";"4";"8,1";"42"
"b2";"50,02";"10,49";"1882";"5";"12,5";"57"
"b2";"50,02";"10,49";"1882";"6";"14,8";"84"
"b2";"50,02";"10,49";"1882";"7";"17,0";"154"
"b2";"50,02";"10,49";"1882";"8";"15,2";"73"
"b2";"50,02";"10,49";"1882";"9";"13,1";"92"
"b2";"50,02";"10,49";"1882";"10";"9,0";"77"
"b2";"50,02";"10,49";"1882";"11";"4,3";"143"
"b2";"50,02";"10,49";"1882";"12";"0,9";"95"
"b2";"50,02";"10,49";"1883";"1";"-0,3";"40"
"b2";"50,02";"10,49";"1883";"2";"2,6";"17"
"b2";"50,02";"10,49";"1883";"3";"-1,2";"29"
"b2";"50,02";"10,49";"1883";"4";"6,6";"14"
"b2";"50,02";"10,49";"1883";"5";"13,2";"49"
"b2";"50,02";"10,49";"1883";"6";"17,2";"41"
"b2";"50,02";"10,49";"1883";"7";"17,0";"98"
"b2";"50,02";"10,49";"1883";"8";"16,4";"32"
"b2";"50,02";"10,49";"1883";"9";"13,7";"61"
"b2";"50,02";"10,49";"1883";"10";"8,4";"55"
"b2";"50,02";"10,49";"1883";"11";"4,3";"64"
"b2";"50,02";"10,49";"1883";"12";"0,7";"66"
"b2";"50,02";"10,49";"1884";"1";"2,9";"48"
"b2";"50,02";"10,49";"1884";"2";"2,6";"30"
"b2";"50,02";"10,49";"1884";"3";"5,1";"20"
"b2";"50,02";"10,49";"1884";"4";"6,7";"19"
"b2";"50,02";"10,49";"1884";"5";"13,4";"44"
"b2";"50,02";"10,49";"1884";"6";"13,7";"60"
"b2";"50,02";"10,49";"1884";"7";"19,1";"68"
"b2";"50,02";"10,49";"1884";"8";"17,5";"56"
"b2";"50,02";"10,49";"1884";"9";"14,1";"19"
"b2";"50,02";"10,49";"1884";"10";"7,7";"68"
"b2";"50,02";"10,49";"1884";"11";"1,5";"31"
"b2";"50,02";"10,49";"1884";"12";"1,7";"88"
"b2";"50,02";"10,49";"1885";"1";"-3,1";"14"
"b2";"50,02";"10,49";"1885";"2";"3,0";"42"
"b2";"50,02";"10,49";"1885";"3";"3,0";"49"
"b2";"50,02";"10,49";"1885";"4";"10,2";"15"
"b2";"50,02";"10,49";"1885";"5";"10,7";"53"
"b2";"50,02";"10,49";"1885";"6";"17,7";"44"
"b2";"50,02";"10,49";"1885";"7";"17,8";"66"
"b2";"50,02";"10,49";"1885";"8";"15,1";"45"
"b2";"50,02";"10,49";"1885";"9";"13,1";"62"
"b2";"50,02";"10,49";"1885";"10";"7,7";"76"
"b2";"50,02";"10,49";"1885";"11";"3,1";"54"
"b2";"50,02";"10,49";"1885";"12";"-0,8";"51"
"b2";"50,02";"10,49";"1886";"1";"-1,6";"38"
"b2";"50,02";"10,49";"1886";"2";"-2,4";"17"
"b2";"50,02";"10,49";"1886";"3";"0,7";"41"
"b2";"50,02";"10,49";"1886";"4";"9,7";"33"
"b2";"50,02";"10,49";"1886";"5";"13,4";"53"
"b2";"50,02";"10,49";"1886";"6";"14,8";"107"
"b2";"50,02";"10,49";"1886";"7";"17,4";"62"
"b2";"50,02";"10,49";"1886";"8";"17,5";"39"
"b2";"50,02";"10,49";"1886";"9";"15,4";"34"
"b2";"50,02";"10,49";"1886";"10";"9,5";"54"
"b2";"50,02";"10,49";"1886";"11";"5,0";"55"
"b2";"50,02";"10,49";"1886";"12";"1,0";"113"
"b2";"50,02";"10,49";"1887";"1";"-5,2";"5"
"b2";"50,02";"10,49";"1887";"2";"-0,8";"13"
"b2";"50,02";"10,49";"1887";"3";"1,5";"51"
"b2";"50,02";"10,49";"1887";"4";"7,8";"22"
"b2";"50,02";"10,49";"1887";"5";"10,8";"90"
"b2";"50,02";"10,49";"1887";"6";"16,2";"19"
"b2";"50,02";"10,49";"1887";"7";"19,9";"54"
"b2";"50,02";"10,49";"1887";"8";"16,2";"46"
"b2";"50,02";"10,49";"1887";"9";"12,2";"35"
"b2";"50,02";"10,49";"1887";"10";"5,3";"31"
"b2";"50,02";"10,49";"1887";"11";"2,6";"43"
"b2";"50,02";"10,49";"1887";"12";"-1,5";"68"
"b2";"50,02";"10,49";"1888";"1";"-2,6";"28"
"b2";"50,02";"10,49";"1888";"2";"-2,2";"37"
"b2";"50,02";"10,49";"1888";"3";"1,7";"90"
"b2";"50,02";"10,49";"1888";"4";"6,5";"46"
"b2";"50,02";"10,49";"1888";"5";"13,0";"20"
"b2";"50,02";"10,49";"1888";"6";"16,7";"98"
"b2";"50,02";"10,49";"1888";"7";"15,2";"127"
"b2";"50,02";"10,49";"1888";"8";"15,5";"58"
"b2";"50,02";"10,49";"1888";"9";"12,7";"30"
"b2";"50,02";"10,49";"1888";"10";"6,1";"61"
"b2";"50,02";"10,49";"1888";"11";"3,2";"31"
"b2";"50,02";"10,49";"1888";"12";"0,0";"12"
"b2";"50,02";"10,49";"1889";"1";"-2,3";"10"
"b2";"50,02";"10,49";"1889";"2";"-3,0";"68"
"b2";"50,02";"10,49";"1889";"3";"0,5";"39"
"b2";"50,02";"10,49";"1889";"4";"7,6";"39"
"b2";"50,02";"10,49";"1889";"5";"16,4";"68"
"b2";"50,02";"10,49";"1889";"6";"19,0";"76"
"b2";"50,02";"10,49";"1889";"7";"17,0";"80"
"b2";"50,02";"10,49";"1889";"8";"15,9";"50"
"b2";"50,02";"10,49";"1889";"9";"11,4";"52"
"b2";"50,02";"10,49";"1889";"10";"7,9";"61"
"b2";"50,02";"10,49";"1889";"11";"2,4";"27"
"b2";"50,02";"10,49";"1889";"12";"-1,7";"36"
"b2";"50,02";"10,49";"1890";"1";"1,9";"84"
"b2";"50,02";"10,49";"1890";"2";"-2,7";"3"
"b2";"50,02";"10,49";"1890";"3";"4,2";"23"
"b2";"50,02";"10,49";"1890";"4";"7,4";"34"
"b2";"50,02";"10,49";"1890";"5";"14,4";"50"
"b2";"50,02";"10,49";"1890";"6";"14,4";"60"
"b2";"50,02";"10,49";"1890";"7";"15,9";"77"
"b2";"50,02";"10,49";"1890";"8";"17,3";"102"
"b2";"50,02";"10,49";"1890";"9";"13,4";"12"
"b2";"50,02";"10,49";"1890";"10";"6,8";"73"
"b2";"50,02";"10,49";"1890";"11";"3,2";"72"
"b2";"50,02";"10,49";"1890";"12";"-4,7";"3"
"b2";"50,02";"10,49";"1891";"1";"-5,2";"35"
"b2";"50,02";"10,49";"1891";"2";"-0,9";"2"
"b2";"50,02";"10,49";"1891";"3";"3,1";"48"
"b2";"50,02";"10,49";"1891";"4";"5,5";"38"
"b2";"50,02";"10,49";"1891";"5";"13,6";"56"
"b2";"50,02";"10,49";"1891";"6";"15,2";"106"
"b2";"50,02";"10,49";"1891";"7";"16,6";"93"
"b2";"50,02";"10,49";"1891";"8";"15,3";"48"
"b2";"50,02";"10,49";"1891";"9";"13,5";"34"
"b2";"50,02";"10,49";"1891";"10";"9,7";"31"
"b2";"50,02";"10,49";"1891";"11";"2,6";"44"
"b2";"50,02";"10,49";"1891";"12";"1,3";"77"
"b2";"50,02";"10,49";"1892";"1";"-1,7";"47"
"b2";"50,02";"10,49";"1892";"2";"0,7";"43"
"b2";"50,02";"10,49";"1892";"3";"0,7";"15"
"b2";"50,02";"10,49";"1892";"4";"7,7";"14"
"b2";"50,02";"10,49";"1892";"5";"12,7";"34"
"b2";"50,02";"10,49";"1892";"6";"15,9";"65"
"b2";"50,02";"10,49";"1892";"7";"16,5";"31"
"b2";"50,02";"10,49";"1892";"8";"19,0";"37"
"b2";"50,02";"10,49";"1892";"9";"13,9";"50"
"b2";"50,02";"10,49";"1892";"10";"7,0";"61"
"b2";"50,02";"10,49";"1892";"11";"2,9";"5"
"b2";"50,02";"10,49";"1892";"12";"-2,5";"37"
"b2";"50,02";"10,49";"1893";"1";"-8,6";"40"
"b2";"50,02";"10,49";"1893";"2";"2,2";"69"
"b2";"50,02";"10,49";"1893";"3";"4,7";"20"
"b2";"50,02";"10,49";"1893";"4";"9,4";"0"
"b2";"50,02";"10,49";"1893";"5";"13,2";"25"
"b2";"50,02";"10,49";"1893";"6";"16,6";"35"
"b2";"50,02";"10,49";"1893";"7";"18,1";"99"
"b2";"50,02";"10,49";"1893";"8";"17,3";"25"
"b2";"50,02";"10,49";"1893";"9";"12,5";"60"
"b2";"50,02";"10,49";"1893";"10";"9,6";"90"
"b2";"50,02";"10,49";"1893";"11";"1,8";"55"
"b2";"50,02";"10,49";"1893";"12";"-0,7";"29"
"b2";"50,02";"10,49";"1894";"1";"-2,4";"20"
"b2";"50,02";"10,49";"1894";"2";"1,9";"46"
"b2";"50,02";"10,49";"1894";"3";"5,0";"24"
"b2";"50,02";"10,49";"1894";"4";"10,3";"39"
"b2";"50,02";"10,49";"1894";"5";"11,6";"37"
"b2";"50,02";"10,49";"1894";"6";"14,6";"78"
"b2";"50,02";"10,49";"1894";"7";"18,3";"95"
"b2";"50,02";"10,49";"1894";"8";"16,0";"69"
"b2";"50,02";"10,49";"1894";"9";"11,1";"82"
"b2";"50,02";"10,49";"1894";"10";"8,2";"110"
"b2";"50,02";"10,49";"1894";"11";"4,6";"14"
"b2";"50,02";"10,49";"1894";"12";"0,1";"47"
"b2";"50,02";"10,49";"1895";"1";"-4,9";"56"
"b2";"50,02";"10,49";"1895";"2";"-7,6";"16"
"b2";"50,02";"10,49";"1895";"3";"1,2";"47"
"b2";"50,02";"10,49";"1895";"4";"9,0";"39"
"b2";"50,02";"10,49";"1895";"5";"12,4";"72"
"b2";"50,02";"10,49";"1895";"6";"16,2";"41"
"b2";"50,02";"10,49";"1895";"7";"18,0";"43"
"b2";"50,02";"10,49";"1895";"8";"16,8";"43"
"b2";"50,02";"10,49";"1895";"9";"15,7";"6"
"b2";"50,02";"10,49";"1895";"10";"6,9";"60"
"b2";"50,02";"10,49";"1895";"11";"5,1";"65"
"b2";"50,02";"10,49";"1895";"12";"-0,1";"83"
"b2";"50,02";"10,49";"1896";"1";"-1,2";"33"
"b2";"50,02";"10,49";"1896";"2";"-0,5";"3"
"b2";"50,02";"10,49";"1896";"3";"5,7";"63"
"b2";"50,02";"10,49";"1896";"4";"6,2";"61"
"b2";"50,02";"10,49";"1896";"5";"11,4";"12"
"b2";"50,02";"10,49";"1896";"6";"16,8";"108"
"b2";"50,02";"10,49";"1896";"7";"17,2";"85"
"b2";"50,02";"10,49";"1896";"8";"14,4";"78"
"b2";"50,02";"10,49";"1896";"9";"12,7";"69"
"b2";"50,02";"10,49";"1896";"10";"8,4";"45"
"b2";"50,02";"10,49";"1896";"11";"1,5";"7"
"b2";"50,02";"10,49";"1896";"12";"-0,9";"17"
"b2";"50,02";"10,49";"1897";"1";"-2,6";"29"
"b2";"50,02";"10,49";"1897";"2";"1,7";"63"
"b2";"50,02";"10,49";"1897";"3";"5,5";"44"
"b2";"50,02";"10,49";"1897";"4";"7,7";"41"
"b2";"50,02";"10,49";"1897";"5";"11,0";"74"
"b2";"50,02";"10,49";"1897";"6";"17,3";"53"
"b2";"50,02";"10,49";"1897";"7";"17,4";"43"
"b2";"50,02";"10,49";"1897";"8";"17,2";"89"
"b2";"50,02";"10,49";"1897";"9";"12,4";"101"
"b2";"50,02";"10,49";"1897";"10";"7,2";"17"
"b2";"50,02";"10,49";"1897";"11";"2,1";"18"
"b2";"50,02";"10,49";"1897";"12";"0,7";"32"
"b2";"50,02";"10,49";"1898";"1";"1,1";"27"
"b2";"50,02";"10,49";"1898";"2";"1,0";"59"
"b2";"50,02";"10,49";"1898";"3";"3,3";"54"
"b2";"50,02";"10,49";"1898";"4";"7,9";"58"
"b2";"50,02";"10,49";"1898";"5";"11,9";"97"
"b2";"50,02";"10,49";"1898";"6";"15,1";"76"
"b2";"50,02";"10,49";"1898";"7";"14,9";"72"
"b2";"50,02";"10,49";"1898";"8";"18,3";"51"
